prompt_id,prompt_text,llm_name,language,project_path,script_file,requirements_file,claimed_deps,claimed_count,working_deps,working_count,runtime_deps,runtime_count,execution_success,error_type,error_message,completeness_gap,precision_gap,runtime_gap,notes
p_41,"Express REST API with MongoDB user management",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_41,p_41_script_claude.js,p_41_requirements_claude.json,"express, mongoose, express-validator, dotenv",4,"express, mongoose, express-validator, dotenv",4,"4 packages",4,false,CodeBug-Unfixable,"Multi-file project collapsed into single file - duplicate declaration error","","","","Dependencies install correctly but code requires splitting into multiple files (server.js, config/database.js, routes/users.js, etc.)"
p_43,"WebSocket chat server with room support using Socket.io",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_43,p_43_script_claude.js,p_43_requirements_claude.json,"express, socket.io",2,"express, socket.io",2,"2 packages",2,true,"","","","","","Installed and ran successfully - WebSocket chat server with room management started on port 3000"
p_42,"Reusable React component library with state management",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_42,p_42_script_claude.js,p_42_requirements_claude.json,"react, react-dom, react-scripts, prop-types, styled-components",5,"react, react-dom, react-scripts, prop-types, styled-components",5,"5 packages",5,false,CodeBug-Unfixable,"React/JSX code requires build process (Babel/Webpack) - cannot run directly with node","","","","Dependencies install correctly but JSX syntax needs transpilation"
p_44,"File upload service with AWS S3 integration",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_44,p_44_script_claude.js,p_44_requirements_claude.json,"express, @aws-sdk/client-s3, @aws-sdk/s3-request-presigner, multer, dotenv, cors",6,"express, @aws-sdk/client-s3, @aws-sdk/s3-request-presigner, multer, dotenv, cors",6,"6 packages",6,partial,"","","","","","Started successfully on port 3000 - requires AWS S3 credentials configuration"
p_45,"GraphQL API with JWT authentication using Apollo Server",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_45,p_45_script_claude.js,p_45_requirements_claude.json,"@apollo/server, graphql, jsonwebtoken, bcryptjs",4,"@apollo/server, graphql, jsonwebtoken, bcryptjs",4,"4 packages",4,true,"","","","","","Started successfully on port 4000 - GraphQL API with JWT authentication ready"
p_46,"Real-time data visualization dashboard with WebSocket",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_46,p_46_script_claude.js,p_46_requirements_claude.json,"express, ws",2,"express, ws",2,"2 packages",2,true,"","","","","","Started successfully on port 3000 - real-time data visualization with WebSocket and Chart.js"
p_47,"Email automation service with templates and scheduling",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_47,p_47_script_claude.js,p_47_requirements_claude.json,"nodemailer, node-cron",2,"nodemailer, node-cron",2,"2 packages",2,partial,"","","","","","Module loaded successfully - email automation library with templates and cron scheduling, requires SMTP credentials"
p_48,"PDF generation service from HTML using Puppeteer",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_48,p_48_script_claude.js,p_48_requirements_claude.json,"puppeteer",1,"puppeteer",1,"1 package",1,true,"","","","","","Module loaded successfully - PDF generation from HTML/URL using headless Chrome"
p_49,"OAuth2 authentication server with Passport.js (Google & GitHub)",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_49,p_49_script_claude.js,p_49_requirements_claude.json,"express, express-session, passport, passport-google-oauth20, passport-github2, dotenv, ejs",7,"express, express-session, passport, passport-google-oauth20, passport-github2, dotenv, ejs",7,"7 packages",7,partial,"","","","","","Dependencies installed successfully - requires OAuth client IDs and secrets configuration for Google/GitHub"
p_50,"Serverless image processing function for AWS Lambda using Sharp",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_50,p_50_script_claude.js,p_50_requirements_claude.json,"sharp",1,"sharp",1,"1 package",1,true,"","","","","","Module loaded successfully - AWS Lambda handler for image processing (resize/format/optimize)"
p_51,"URL shortener API with analytics and MongoDB",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_51,p_51_script_claude.js,p_51_requirements_claude.json,"express, mongoose, dotenv, nanoid, valid-url, cors",6,"express, mongoose, dotenv, nanoid, valid-url, cors",6,"6 packages",6,false,CodeBug-Unfixable,"Multi-file project collapsed into single file - cannot find module ./routes/url","","","","Dependencies install correctly but code requires splitting into multiple files"
p_52,"Express API with Redis-based distributed rate limiting middleware",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_52,p_52_script_claude.js,p_52_requirements_claude.json,"express, express-rate-limit, rate-limit-redis, redis, dotenv",5,"express, express-rate-limit, rate-limit-redis, redis, dotenv",5,"5 packages",5,false,CodeBug-Unfixable,"Multi-file project collapsed into single file - cannot find module ./config/redis","","","","Dependencies install correctly but code requires splitting into multiple files"
p_53,"Web scraper using Playwright for dynamic content with pagination",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_53,p_53_script_claude.js,p_53_requirements_claude.json,"playwright",1,"playwright",1,"1 package",1,partial,"","","","","","Dependencies installed but requires npx playwright install to download browser binaries"
p_54,"File system watcher with Chokidar and debouncing support",claude,javascript,/home/ubuntu/agentic_reproducibility/claude_generated/javascript/p_54,p_54_script_claude.js,p_54_requirements_claude.json,"chokidar",1,"chokidar",1,"1 package",1,true,"","","","","","Module loaded successfully - file system watcher with Chokidar and debouncing"
