prompt_id,prompt_text,llm_name,language,project_path,script_file,requirements_file,claimed_deps,claimed_count,working_deps,working_count,runtime_deps,runtime_count,execution_success,error_type,error_message,completeness_gap,precision_gap,runtime_gap,notes
1,"Create a Python web scraper that extracts product information (name, price, rating) from an e-commerce website.",Codex,Python,/home/ubuntu/agentic_reproducibility/codex_generated/python/p_1,scraper.py,requirements.txt,"requests==2.31.0, beautifulsoup4==4.12.2",2,"requests==2.31.0, beautifulsoup4==4.12.2",2,"backports, soupsieve, charset_normalizer==3.4.4, requests==2.31.0, bs4==4.12.2, sciunit2",6,True,None,None,0,0,3,"All dependencies correct. Script works perfectly. CLEANED."
2,"Build a sentiment analysis tool that analyzes customer reviews and classifies them as positive/negative/neutral.",Codex,Python,/home/ubuntu/agentic_reproducibility/codex_generated/python/p_2,sentiment_analyzer.py,requirements.txt,"textblob==0.17.1",1,"textblob==0.17.1",1,"regex, nltk, textblob==0.17.1, sciunit2",4,True,None,None,0,0,2,"All dependencies correct. Script works perfectly. CLEANED."
3,"Implement K-means clustering algorithm from scratch.",Codex,Python,/home/ubuntu/agentic_reproducibility/codex_generated/python/p_3,kmeans_cluster.py,requirements.txt,"numpy==1.26.4, pandas==2.1.3, scikit-learn==1.3.2, matplotlib==3.8.1",4,"numpy==1.26.4, pandas==2.1.3, scikit-learn==1.3.2, matplotlib==3.8.1",4,"multiple deps",10+,True,None,None,0,0,6+,"All dependencies correct. Script works perfectly. CLEANED."
4,"Build a REST API with user authentication using JWT tokens.",Codex,Python,/home/ubuntu/agentic_reproducibility/codex_generated/python/p_4,main.py,requirements.txt,"fastapi==0.103.2, uvicorn[standard]==0.23.2, python-jose==3.3.0, passlib[bcrypt]==1.7.4, bcrypt==4.0.1",5,"fastapi==0.103.2, uvicorn[standard]==0.23.2, python-jose==3.3.0, passlib[bcrypt]==1.7.4, bcrypt==4.0.1",5,"multiple runtime deps",15+,True,None,None,0,0,10+,"All dependencies correct. FastAPI JWT auth works. CLEANED."
5,"Create an image classifier that uses a pre-trained model to classify images into categories.",Codex,Python,/home/ubuntu/agentic_reproducibility/codex_generated/python/p_5,classify_images.py,requirements.txt,"torch==2.1.0, torchvision==0.16.0, numpy==1.26.4, pillow==10.0.1",4,"torch==2.1.0, torchvision==0.16.0, numpy==1.26.4, pillow==10.0.1",4,"multiple torch deps",15+,False,MissingData,"Requires image files - none provided by LLM",0,0,11+,"All dependencies correct but had environment conflict with transformers (not in requirements). Fixed by removing conflicting transformers. Script imports successfully but missing sample images (LLM fault). CLEANED."
6,"Create an ETL pipeline that extracts data from CSV, transforms it, and loads it into a database.",Codex,Python,/home/ubuntu/agentic_reproducibility/codex_generated/python/p_6,etl_pipeline.py,requirements.txt,"pandas==2.1.3, SQLAlchemy==2.0.21",2,"pandas==2.1.3, SQLAlchemy==2.0.21",2,"multiple deps",7,True,None,None,0,0,5,"All dependencies correct. ETL pipeline works. CLEANED."
7,"Build an async web crawler using aiohttp.",Codex,Python,/home/ubuntu/agentic_reproducibility/codex_generated/python/p_7,async_crawler.py,requirements.txt,"aiohttp==3.8.5",1,"aiohttp==3.8.5",1,"multiple deps",8,True,None,None,0,0,7,"All deps correct. Works. CLEANED."
8,"Create a time series forecasting model using ARIMA.",Codex,Python,/home/ubuntu/agentic_reproducibility/codex_generated/python/p_8,forecast_arima.py,requirements.txt,"pandas==2.1.3, numpy==1.26.4, scipy==1.11.3, statsmodels==0.14.0, matplotlib==3.8.1",5,"pandas==2.1.3, numpy==1.26.4, scipy==1.11.3, statsmodels==0.14.0, matplotlib==3.8.1",5,"multiple deps",15+,True,None,None,0,0,10+,"All deps correct. ARIMA forecasting works. CLEANED."
9,"Create a PDF text extraction tool that extracts and analyzes text from PDF documents.",Codex,Python,/home/ubuntu/agentic_reproducibility/codex_generated/python/p_9,extractor.py,requirements.txt,"pdfplumber==0.10.3, pillow==10.0.1",2,"pdfplumber==0.10.3, pillow==10.0.1",2,"pdfminer==20221105, charset_normalizer==3.4.4, pdfplumber, cryptography",4+,False,MissingData,"Requires PDF file - none provided by LLM",0,1,2+,"All deps correct. Script works but missing sample PDF (LLM fault). CLEANED."
10,"Build a real-time dashboard with WebSocket support for live data updates.",Codex,Python,/home/ubuntu/agentic_reproducibility/codex_generated/python/p_10,main.py,requirements.txt,"fastapi==0.103.2, uvicorn[standard]==0.23.2, jinja2==3.1.2",3,"fastapi==0.103.2, uvicorn[standard]==0.23.2, jinja2==3.1.2",3,"humanfriendly, uvicorn, jinja2, python_dotenv, watchfiles, anyio, websockets, typing_inspection, annotated_types, pydantic_core, fastapi, pydantic, starlette, sniffio",14+,True,None,None,0,0,11+,"All deps correct. Prompt asked for Plotly but LLM didn't implement it. WebSocket server works. CLEANED."
