prompt_id,prompt_text,llm_name,language,project_path,script_file,requirements_file,claimed_deps,claimed_count,working_deps,working_count,runtime_deps,runtime_count,execution_success,error_type,error_message,completeness_gap,precision_gap,runtime_gap,notes
p_41,"Express REST API with MongoDB using in-memory mongodb-memory-server",gemini,javascript,/home/ubuntu/agentic_reproducibility/gemini_generated/javascript/p_41,server.js,package.json,"express, mongoose, express-validator, mongodb-memory-server",4,"express, mongoose, express-validator, mongodb-memory-server",4,"4 packages",4,true,"","","","","","Started successfully on port 3000 - Connected to in-memory MongoDB (no external DB required\!)"
p_42,"React component library or frontend project",gemini,javascript,/home/ubuntu/agentic_reproducibility/gemini_generated/javascript/p_42,N/A,N/A,"N/A",0,"N/A",0,"0 packages",0,false,"NotProcessed","No package.json found - appears to be frontend project without Node.js backend","","","","Frontend project structure (public/src directories) - no runnable Node.js backend"
p_43,"WebSocket Chat Server with Express and Socket.io room support",gemini,javascript,/home/ubuntu/agentic_reproducibility/gemini_generated/javascript/p_43,server.js,package.json,"express, socket.io",2,"express, socket.io",2,"2 packages",2,true,"","","","","","Started successfully on port 3000 - WebSocket chat server"
p_44,"File Upload Service with AWS S3 integration using Express, Multer, and AWS SDK v2",gemini,javascript,/home/ubuntu/agentic_reproducibility/gemini_generated/javascript/p_44,server.js,package.json,"express, multer, aws-sdk, dotenv",4,"express, multer, aws-sdk, dotenv",4,"4 packages",4,true,"","","","","","Started successfully on port 3000 - File upload service (requires AWS credentials for actual S3 operations)"
p_45,"GraphQL API with JWT authentication using Apollo Server",gemini,javascript,/home/ubuntu/agentic_reproducibility/gemini_generated/javascript/p_45,server.js,package.json,"apollo-server, graphql, jsonwebtoken, bcryptjs",4,"apollo-server, graphql, jsonwebtoken, bcryptjs",4,"4 packages",4,true,"","","","","","Started successfully on port 4000 - GraphQL API with JWT authentication"
p_46,"Real-Time Data Visualization Dashboard with Express, Socket.io, and Chart.js",gemini,javascript,/home/ubuntu/agentic_reproducibility/gemini_generated/javascript/p_46,server.js,package.json,"express, socket.io",2,"express, socket.io",2,"2 packages",2,true,"","","","","","Started successfully on port 3000 - Real-time data visualization with WebSocket"
p_47,"Email Automation Service with templates using Nodemailer and node-cron",gemini,javascript,/home/ubuntu/agentic_reproducibility/gemini_generated/javascript/p_47,server.js,package.json,"nodemailer, node-cron, dotenv",3,"nodemailer, node-cron, dotenv",3,"3 packages",3,false,"ConfigError-Partial","Invalid login: 535 Authentication failed - requires SMTP credentials","","","","Service started and cron scheduled, but requires SMTP configuration for sending emails"
p_48,"PDF Generation Service from HTML using Express and Puppeteer",gemini,javascript,/home/ubuntu/agentic_reproducibility/gemini_generated/javascript/p_48,server.js,package.json,"express, puppeteer",2,"express, puppeteer",2,"2 packages",2,true,"","","","","","Started successfully on port 3000 - PDF generation service with Puppeteer"
p_49,"OAuth2 Authentication Server with Express, Passport.js, Google and GitHub providers",gemini,javascript,/home/ubuntu/agentic_reproducibility/gemini_generated/javascript/p_49,server.js,package.json,"express, express-session, passport, passport-google-oauth20, passport-github2, dotenv",6,"express, express-session, passport, passport-google-oauth20, passport-github2, dotenv",6,"6 packages",6,true,"","","","","","Started successfully on port 3000 - OAuth2 server with Google/GitHub providers (requires .env config)"
p_50,"Serverless Image Processing Function using Sharp library for AWS Lambda",gemini,javascript,/home/ubuntu/agentic_reproducibility/gemini_generated/javascript/p_50,index.js,package.json,"sharp",1,"sharp",1,"1 package",1,false,"RuntimeEnvRequired","AWS Lambda handler function - requires Lambda runtime environment","","","","Lambda handler exports.handler - cannot test without Lambda runtime"
p_51,"URL Shortener API with analytics using Express and MongoDB",gemini,javascript,/home/ubuntu/agentic_reproducibility/gemini_generated/javascript/p_51,server.js,package.json,"express, mongoose, shortid",3,"express, mongoose, shortid",3,"3 packages",3,true,"","","","","","Started successfully on port 3000 - URL shortener with MongoDB (requires external DB)"
