prompt_id,prompt_text,llm_name,language,project_path,script_file,requirements_file,claimed_deps,claimed_count,working_deps,working_count,runtime_deps,runtime_count,execution_success,error_type,error_message,completeness_gap,precision_gap,runtime_gap,notes
p_76,"Spring Boot REST API with JPA and MySQL",gemini,java,/home/ubuntu/agentic_reproducibility/gemini_generated/java/p_76,src/,pom.xml,"spring-boot-starter-data-jpa, spring-boot-starter-web, mysql-connector-j, spring-boot-starter-validation",4,"spring-boot-starter-data-jpa, spring-boot-starter-web, mysql-connector-j, spring-boot-starter-validation",4,"67 jars",67,partial,CodeBug-Fixed,"Malformed pom.xml - missing <dependency> opening tag at line 20","","","","Fixed by adding missing <dependency> tag - compiled and started successfully, MySQL connection requires external server"
p_77,"Spring Boot Microservice with Kafka Integration",gemini,java,/home/ubuntu/agentic_reproducibility/gemini_generated/java/p_77,src/,pom.xml,"spring-boot-starter-web, spring-kafka",2,"spring-boot-starter-web, spring-kafka",2,"44 jars",44,partial,"","","","","","Compiled and started successfully - Kafka consumer/producer configured, requires external Kafka server"
p_78,"JWT Authentication Service with Spring Security",gemini,java,/home/ubuntu/agentic_reproducibility/gemini_generated/java/p_78,src/,pom.xml,"spring-boot-starter-security, spring-boot-starter-web, jjwt-api, jjwt-impl, jjwt-jackson",5,"spring-boot-starter-security, spring-boot-starter-web, jjwt-api, jjwt-impl, jjwt-jackson",5,"43 jars",43,false,CodeBug-Unfixable,"Circular dependency: jwtRequestFilter->jwtUserDetailsService->securityConfig->jwtRequestFilter","","","","Compiled successfully but failed at runtime due to unresolvable circular bean dependency"
p_79,"Spring Batch Processing Job",gemini,java,/home/ubuntu/agentic_reproducibility/gemini_generated/java/p_79,src/,pom.xml,"spring-boot-starter-batch, mysql-connector-j, spring-boot-starter-data-jpa",3,"spring-boot-starter-batch, mysql-connector-j, spring-boot-starter-data-jpa",3,"57 jars",57,partial,"","","","","","Compiled and started successfully - Spring Batch job configured to read CSV and write to MySQL, requires external MySQL server"
p_80,"Spring Boot WebSocket Chat Application",gemini,java,/home/ubuntu/agentic_reproducibility/gemini_generated/java/p_80,src/,pom.xml,"spring-boot-starter-websocket, spring-boot-starter-web, webjars-locator-core, sockjs-client, stomp-websocket, jquery",6,"spring-boot-starter-websocket, spring-boot-starter-web, webjars-locator-core, sockjs-client, stomp-websocket, jquery",6,"43 jars",43,true,"","","","","","Compiled and started successfully - WebSocket chat application with STOMP protocol, web interface available at localhost:8080"
p_81,"AWS S3 File Processing Service",gemini,java,/home/ubuntu/agentic_reproducibility/gemini_generated/java/p_81,src/,pom.xml,"aws-java-sdk-s3, commons-io",2,"aws-java-sdk-s3, commons-io",2,"15 jars",15,partial,"","","","","","Compiled and started successfully - AWS S3 file operations (upload/download/presigned URLs/multipart), requires AWS credentials and S3 bucket configuration"
p_82,"Quartz Scheduler Example",gemini,java,/home/ubuntu/agentic_reproducibility/gemini_generated/java/p_82,src/,pom.xml,"spring-boot-starter-quartz, spring-boot-starter-data-jpa, h2",3,"spring-boot-starter-quartz, spring-boot-starter-data-jpa, h2",3,"49 jars",49,true,"","","","","","Compiled and started successfully - Quartz Scheduler with H2 database, job executes every 10 seconds"
p_83,"Redis Cache Example",gemini,java,/home/ubuntu/agentic_reproducibility/gemini_generated/java/p_83,src/,pom.xml,"spring-boot-starter-web, spring-boot-starter-data-redis, jedis",3,"spring-boot-starter-web, spring-boot-starter-data-redis, jedis",3,"52 jars",52,partial,"","","","","","Compiled and started successfully - Redis cache REST API (POST/GET/DELETE operations with TTL), requires external Redis server"
p_84,"Spring Mail Example",gemini,java,/home/ubuntu/agentic_reproducibility/gemini_generated/java/p_84,src/,pom.xml,"spring-boot-starter-web, spring-boot-starter-mail, spring-boot-starter-thymeleaf",3,"spring-boot-starter-web, spring-boot-starter-mail, spring-boot-starter-thymeleaf",3,"43 jars",43,partial,CodeBug-Fixed,"Missing import for java.io.File in EmailController.java","","","","Fixed missing import - compiled and started successfully, email service with Thymeleaf templates and attachments, requires SMTP server configuration"
p_85,"REST API Client with RestTemplate",gemini,java,/home/ubuntu/agentic_reproducibility/gemini_generated/java/p_85,src/,pom.xml,"spring-boot-starter-web, spring-retry, spring-aspects",3,"spring-boot-starter-web, spring-retry, spring-aspects",3,"36 jars",36,true,"","","","","","Compiled and started successfully - REST API client with retry logic and error handling for JSONPlaceholder API"
