prompt_id,prompt_text,llm_name,language,project_path,script_file,requirements_file,claimed_deps,claimed_count,working_deps,working_count,runtime_deps,runtime_count,execution_success,error_type,error_message,completeness_gap,precision_gap,runtime_gap,notes
p_41,User Management REST API with Express and MongoDB (Mongoose) for CRUD operations,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_41,server.js,package.json,"express, mongoose, express-validator, morgan",4,"express, mongoose, express-validator, morgan",4,130 packages (transitive),130,false,ConfigError-Partial,Requires MongoDB connection at mongodb://127.0.0.1:27017/user_management,,,126,Requires MongoDB server running for database operations
p_42,React Component Library with styled-components and Context-based state management,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_42,src/App.jsx,package.json,"prop-types, react, react-dom, styled-components",4,"prop-types, react, react-dom, styled-components",4,78 packages (transitive),78,false,BuildRequired,React/Vite project requires build process (npm run dev with Vite),,,74,Requires Vite build process to run - cannot execute with Node.js directly
p_43,WebSocket Chat Server with Socket.io room support and join/leave events,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_43,server.js,package.json,"express, socket.io, cors",3,"express, socket.io, cors",3,92 packages (transitive),92,true,,,,,89,Started successfully on port 4000 - Socket.io chat server with room support
p_44,S3 File Upload Service with Multer and AWS SDK v3 for presigned URLs,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_44,server.js,package.json,"@aws-sdk/client-s3, @aws-sdk/s3-request-presigner, dotenv, express, multer",5,"@aws-sdk/client-s3, @aws-sdk/s3-request-presigner, dotenv, express, multer",5,193 packages (transitive),193,false,ConfigError-Partial,Missing S3_BUCKET environment variable - requires AWS configuration,,,188,Requires AWS credentials and S3 bucket configuration
p_45,GraphQL API with JWT Authentication using Apollo Server and Express,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_45,server.js,package.json,"@apollo/server, body-parser, cors, dotenv, express, graphql, jsonwebtoken",7,"@apollo/server, body-parser, cors, dotenv, express, graphql, jsonwebtoken",7,171 packages (transitive),171,true,,,,,164,Started successfully on port 4000 - GraphQL API with JWT authentication
p_46,"Real-time Data Visualization Dashboard with React, Chart.js, and WebSocket",codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_46,server.js,package.json,"chart.js, react, react-dom, react-chartjs-2, ws",5,"chart.js, react, react-dom, react-chartjs-2, ws",5,59 packages (transitive),59,true,,,,,54,WebSocket server started successfully on port 4000 - React frontend requires Vite build
p_47,"Email Automation Service with Nodemailer, Handlebars templates, and node-cron scheduling",codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_47,server.js,package.json,"dotenv, handlebars, node-cron, nodemailer",4,"dotenv, handlebars, node-cron, nodemailer",4,10 packages (transitive),10,false,ConfigError-Partial,connect ECONNREFUSED 127.0.0.1:587 - requires SMTP server configuration,,,6,Requires SMTP server configuration for sending emails
p_48,"HTML to PDF Service with Express, Puppeteer, and Pug templates",codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_48,server.js,package.json,"dotenv, express, pug, puppeteer",4,"dotenv, express, pug, puppeteer",4,229 packages (transitive),229,true,,,,,225,Started successfully on port 5001 - PDF generation service with Puppeteer
p_49,"OAuth2 Authentication Server with Express, Passport.js, Google and GitHub OAuth flows",codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_49,server.js,package.json,"dotenv, express, express-session, passport, passport-github2, passport-google-oauth20",6,"dotenv, express, express-session, passport, passport-github2, passport-google-oauth20",6,83 packages (transitive),83,false,ConfigError-Partial,Requires GOOGLE_CLIENT_ID/SECRET and GITHUB_CLIENT_ID/SECRET for OAuth,,,77,Server started on port 3000 but requires OAuth credentials for Google and GitHub
p_50,"AWS Lambda Image Processing Function with Sharp for resize, crop, rotate, and convert",codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_50,index.js,package.json,sharp,1,sharp,1,57 packages (transitive),57,true,,,,,56,Module loaded successfully - AWS Lambda handler for image processing with Sharp library
p_51,Express + MongoDB URL Shortener with analytics and nanoid,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_51,server.js,package.json,"body-parser, dotenv, express, mongoose, nanoid",5,"body-parser, dotenv, express, mongoose, nanoid",5,97 packages (transitive),97,false,ConfigError-Partial,Requires MongoDB connection,,,92,Requires MongoDB server for URL shortening and analytics storage
p_52,Express rate limiting middleware with Redis and per-endpoint policies,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_52,server.js,package.json,"dotenv, express, express-rate-limit, ioredis, rate-limit-redis",5,"dotenv, express, express-rate-limit, ioredis, rate-limit-redis",5,82 packages (transitive),82,true,,,,,77,Started successfully on port 4000 - Connected to Redis for rate limiting
p_53,Headless browser scraper using Puppeteer,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_53,scrape.js,package.json,puppeteer,1,puppeteer,1,107 packages (transitive),107,false,ConfigError-Partial,Failed to launch browser - missing shared libraries libxkbcommon.so.0,,,106,Requires browser libraries and dependencies for Puppeteer headless Chrome
p_54,Chokidar-based file watcher with debouncing and yargs CLI,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_54,watcher.js,package.json,"chokidar, yargs",2,"chokidar, yargs",2,30 packages (transitive),30,true,,,,,28,CLI tool loaded successfully - file watcher with debouncing showing help options
p_55,"Command-line task runner with progress indicators using chalk, cli-progress, commander, ora",codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_55,tasker.js,package.json,"chalk, cli-progress, commander, ora",4,"chalk, cli-progress, commander, ora",4,33 packages (transitive),33,true,,,,,29,CLI tool loaded successfully - task runner with progress feedback showing help and commands
p_56,Markdown blog engine with syntax highlighting and RSS feed generation,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_56,build.js,package.json,"highlight.js, marked, rss, yaml-front-matter",4,"highlight.js, marked, rss, yaml-front-matter",4,12 packages (transitive),12,true,,,,,8,Executed successfully - built HTML from markdown and generated index and RSS feed
p_57,Express webhook receiver with signature validation and async queue,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_57,server.js,package.json,"body-parser, dotenv, express, p-queue",4,"body-parser, dotenv, express, p-queue",4,74 packages (transitive),74,false,CodeBug-Unfixable,SyntaxError: p-queue does not provide export named PQueue - incorrect import statement,,,70,Code bug - incorrect import from p-queue module
p_58,"Mock JSON API with CRUD, filtering, and response delays",codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_58,server.js,package.json,"body-parser, express, lodash, nanoid",4,"body-parser, express, lodash, nanoid",4,72 packages (transitive),72,false,CodeBug-Unfixable,SyntaxError: Named export get not found from lodash CommonJS module - ES6/CommonJS module mismatch,,,68,Code bug - incorrect ES6 import from CommonJS lodash module
p_59,Log aggregator with Winston and rotating file transport,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_59,server.js,package.json,"body-parser, dotenv, express, winston, winston-daily-rotate-file",5,"body-parser, dotenv, express, winston, winston-daily-rotate-file",5,102 packages (transitive),102,true,,,,,97,Started successfully on port 5002 - Log aggregator with Winston and rotating file transport
p_60,Socket.io notification system with read/unread tracking,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_60,server.js,package.json,"cors, express, nanoid, socket.io",4,"cors, express, nanoid, socket.io",4,93 packages (transitive),93,true,,,,,89,Started successfully on port 4000 - Real-time notification system with Socket.io
p_61,Job queue processor using Bull and Redis,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_61,producer.js,package.json,"bull, dotenv",2,"bull, dotenv",2,25 packages (transitive),25,true,,,,,23,"Executed successfully - enqueued jobs (email, report, cleanup) to Bull/Redis queue"
p_62,Express API for currency conversion with live rates and caching,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_62,server.js,package.json,"axios, dotenv, express",3,"axios, dotenv, express",3,78 packages (transitive),78,true,,,,,75,Started successfully on port 4000 - Currency conversion API
p_63,Password hashing service using bcrypt,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_63,server.js,package.json,"bcrypt, body-parser, dotenv, express",4,"bcrypt, body-parser, dotenv, express",4,130 packages (transitive),130,true,,,,,126,Started successfully on port 5003 - Password hashing service with bcrypt
p_64,"CSV to JSON converter API with Express, csv-parser, and multer",codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_64,server.js,package.json,"csv-parser, dotenv, express, multer",4,"csv-parser, dotenv, express, multer",4,89 packages (transitive),89,false,CodeBug-Unfixable,SyntaxError: Identifier PORT has already been declared - duplicate variable declaration,,,85,Code bug - PORT constant declared twice in the same file
p_65,Twitter bot with scheduled tweets and media uploads,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_65,bot.js,package.json,"dotenv, node-cron, twitter-api-v2",3,"dotenv, node-cron, twitter-api-v2",3,4 packages (transitive),4,false,ConfigError-Partial,Requires Twitter API credentials,,,1,Requires Twitter API tokens for authentication
p_66,GraphQL API with Apollo Server v4,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_66,server.js,package.json,"@apollo/server, graphql",2,"@apollo/server, graphql",2,94 packages (transitive),94,true,,,,,92,Started successfully - GraphQL server with Apollo Server
p_67,WebSocket real-time chat server,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_67,server.js,package.json,ws,1,ws,1,85 packages (transitive),85,false,CodeBug,Server failed to start,,,84,Failed to start
p_68,Email service with Nodemailer,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_68,server.js,package.json,"dotenv, express, nodemailer",3,"dotenv, express, nodemailer",3,222 packages (transitive),222,false,ConfigError-Partial,Requires SMTP configuration,,,219,Requires SMTP credentials
p_69,Redis caching service,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_69,server.js,package.json,ioredis,1,ioredis,1,95 packages (transitive),95,true,,,,,94,Module loaded
p_70,MongoDB query builder,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_70,index.js,package.json,mongodb,1,mongodb,1,92 packages (transitive),92,false,ConfigError-Partial,Requires MongoDB connection,,,91,Requires MongoDB server
p_71,AWS S3 file upload service,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_71,upload.js,package.json,"@aws-sdk/client-s3, dotenv, express, multer",4,"@aws-sdk/client-s3, dotenv, express, multer",4,75 packages (transitive),75,false,ConfigError-Partial,Requires AWS credentials,,,71,Requires AWS S3 configuration
p_72,JWT authentication server,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_72,server.js,package.json,"dotenv, express, jsonwebtoken",3,"dotenv, express, jsonwebtoken",3,80 packages (transitive),80,true,,,,,77,Started successfully - JWT auth server
p_73,Stripe payment integration,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_73,server.js,package.json,"dotenv, express, stripe",3,"dotenv, express, stripe",3,83 packages (transitive),83,true,,,,,80,Started successfully - Stripe server
p_74,PDF generation with PDFKit,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_74,generate.js,package.json,pdfkit,1,pdfkit,1,79 packages (transitive),79,true,,,,,78,Module loaded
p_75,Task scheduler with Agenda and MongoDB,codex,javascript,/home/ubuntu/agentic_reproducibility/codex_generated/javascript/p_75,scheduler.js,package.json,"agenda, dotenv",2,"agenda, dotenv",2,78 packages (transitive),78,false,ConfigError-Partial,Requires MongoDB connection,,,76,Requires MongoDB for Agenda job scheduling
