prompt_id,prompt_text,llm_name,language,project_path,script_file,requirements_file,claimed_deps,claimed_count,working_deps,working_count,runtime_deps,runtime_count,execution_success,error_type,error_message,completeness_gap,precision_gap,runtime_gap,notes
1,"Create a Python web scraper that extracts product information from an e-commerce website.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_1,scraper.py,requirements.txt,"requests==2.31.0, beautifulsoup4==4.12.3",2,"requests==2.31.0, beautifulsoup4==4.12.3",2,"soupsieve, charset_normalizer, requests, bs4",4+,True,None,None,0,0,2+,"All deps correct. Scraped 60 products successfully. CLEANED."
2,"Build a sentiment analysis tool that analyzes customer reviews.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_2,sentiment_analyzer.py,requirements.txt,"textblob==0.18.0.post0",1,"textblob==0.18.0.post0",1,"textblob, nltk, regex, joblib",4+,True,None,None,0,0,3+,"All deps correct. Analyzed 6 reviews successfully. CLEANED."
3,"Create a K-means clustering script that groups similar data points and visualizes clusters.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_3,kmeans_clustering.py,requirements.txt,"scikit-learn==1.3.2, matplotlib==3.8.1, numpy==1.26.1",3,"scikit-learn==1.3.2, matplotlib==3.8.1, numpy==1.26.1",3,"cycler, scipy, PIL, packaging, joblib, numpy, matplotlib, kiwisolver, sklearn, dateutil",16+,True,None,None,0,0,13+,"All deps correct. K-means clustering with elbow method and visualization. CLEANED."
4,"Build a REST API with user authentication using JWT tokens.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_4,main.py,requirements.txt,"fastapi==0.104.1, uvicorn==0.24.0, pydantic==2.5.2, python-jose[cryptography]==3.3.0, bcrypt==4.1.2, python-multipart==0.0.6",6,"fastapi==0.104.1, uvicorn==0.24.0, pydantic==2.5.2, python-jose[cryptography]==3.3.0, bcrypt==4.1.2, python-multipart==0.0.6",6,"humanfriendly, rsa, uvicorn, anyio, jose, bcrypt, annotated_types, multipart, pydantic_core, fastapi, pydantic, starlette, sniffio",16+,True,None,None,0,0,10+,"All deps correct. FastAPI JWT auth with bcrypt hashing. CLEANED."
5,"Create an image classifier that uses a pre-trained model to classify images into categories.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_5,classify_images.py,requirements.txt,"tensorflow==2.15.0, numpy==1.26.1, requests==2.31.0, Pillow==10.1.0",4,"tensorflow==2.15.0, numpy==1.26.1, requests==2.31.0, Pillow==10.1.0",4,"tensorboard, opt_einsum, PIL, keras, google, packaging, astunparse, tensorflow, numpy, charset_normalizer, requests, termcolor, gast, ml_dtypes, h5py, absl, wrapt",24+,True,None,None,0,0,20+,"All deps correct. ResNet50 image classifier. Wikipedia URLs returned 403 errors but model loads successfully. CLEANED."
6,"Build a data ETL pipeline that extracts data from CSV, transforms it, and loads to SQLite database.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_6,etl_pipeline.py,requirements.txt,"pandas==2.1.3, SQLAlchemy==2.0.23",2,"pandas==2.1.3, SQLAlchemy==2.0.23",2,"sqlalchemy, numpy, pandas, dateutil, tzdata, greenlet",8+,True,CodeBug,"df.describe() parameter datetime_is_numeric not available in pandas 2.1.3",0,0,6+,"Dependencies correct. ETL pipeline works after removing invalid parameter. CODE BUG: datetime_is_numeric parameter. CLEANED."
7,"Create an async web crawler that crawls multiple websites concurrently.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_7,async_crawler.py,requirements.txt,"aiohttp==3.9.1, aiofiles==23.2.1",2,"aiohttp==3.9.1, aiofiles==23.2.1",2,"aiohttp, aiosignal, yarl, propcache, aiofiles, async_timeout, multidict, frozenlist",9+,True,None,None,0,0,7+,"All deps correct. Async web crawler with rate limiting. CLEANED."
8,"Build a time series forecasting script using ARIMA model.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_8,arima_forecast.py,requirements.txt,"statsmodels==0.14.1, pandas==2.1.3, matplotlib==3.8.1, numpy==1.26.1",4,"statsmodels==0.14.1, pandas==2.1.3, matplotlib==3.8.1, numpy==1.26.1",4,"statsmodels, pandas, matplotlib, numpy, scipy, patsy, packaging, contourpy, etc",17+,True,None,None,0,0,13+,"All deps correct. ARIMA forecasting with ADF test. CLEANED."
9,"Create a PDF text extraction tool that extracts and analyzes text from PDF documents.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_9,pdf_analyzer.py,requirements.txt,"pdfplumber==0.10.3, reportlab==4.0.4",2,"pdfplumber==0.10.3, reportlab==4.0.4",2,"pdfplumber, reportlab, pypdfium2, pdfminer.six, Pillow, cryptography, charset_normalizer, cffi",14+,True,None,None,0,0,12+,"All deps correct. PDF text extraction with NLP analysis. CLEANED."
10,"Build a real-time dashboard with WebSocket support for live data updates.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_10,app.py,requirements.txt,"Flask==2.3.3, Flask-SocketIO==5.3.6, eventlet==0.33.3",3,"Flask==2.3.3, Flask-SocketIO==5.3.6, eventlet==0.33.3",3,"Flask, Flask-SocketIO, eventlet, Jinja2, click, itsdangerous, Werkzeug, blinker, python-socketio, dnspython, greenlet, python-engineio, bidict, simple-websocket, wsproto, h11",16+,True,None,None,0,0,13+,"All deps correct. Flask WebSocket dashboard. CLEANED."
11,"Create an email automation script that sends personalized emails with attachments.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_11,email_sender.py,requirements.txt,"(empty - stdlib only)",0,"(empty - stdlib only)",0,"(stdlib only)",1,True,None,None,0,0,1,"CORRECT EMPTY requirements.txt. Email automation using stdlib (smtplib, email). CLEANED."
12,"Build a log analyzer that parses server logs and generates insights.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_12,log_analyzer.py,requirements.txt,"pandas==2.1.3, matplotlib==3.8.1",2,"pandas==2.1.3, matplotlib==3.8.1",2,"pandas, matplotlib, numpy, scipy, packaging, contourpy, etc",13+,True,CodeBug-Fixed,"Fixed regex quote syntax error at line 38",0,0,11+,"Dependencies correct. Fixed CODE BUG (regex syntax). Log analyzer works. CLEANED."
13,"Create a Twitter bot that monitors hashtags and responds to tweets.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_13,twitter_bot.py,requirements.txt,"tweepy==4.14.0",1,"tweepy==4.14.0",1,"tweepy, requests, oauthlib, requests_oauthlib, charset_normalizer",6+,True,None,None,0,0,5+,"All deps correct. Twitter bot with tweepy. CLEANED."
14,"Build a file encryption/decryption tool using AES encryption.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_14,file_encryptor.py,requirements.txt,"cryptography==42.0.5, tqdm==4.66.2",2,"cryptography==42.0.5, tqdm==4.66.2",2,"cryptography, cffi, pycparser",3+,True,None,None,0,0,1+,"All deps correct. AES file encryption tool. CLEANED."
15,"Create a QR code generator and reader application.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_15,qr_tool.py,requirements.txt,"qrcode[pil]==7.4.2, opencv-python-headless==4.9.0.80, Pillow==10.1.0",3,"qrcode[pil]==7.4.2, opencv-python-headless==4.9.0.80, Pillow==10.1.0, numpy<2",4,"qrcode, cv2, numpy, PIL, pypng, typing_extensions",8+,True,None,None,1,0,5+,"COMPLETENESS GAP: Missing numpy<2. opencv-python-headless requires numpy<2 but LLM didn't specify. Fixed by adding numpy<2. QR tool works. CLEANED."
16,"Build a recommendation system using collaborative filtering.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_16,recommender.py,requirements.txt,"scikit-surprise==1.1.3",1,"scikit-surprise==1.1.3, numpy<2",2,"surprise, numpy, scipy, joblib",5+,True,None,None,1,0,4+,"COMPLETENESS GAP: Missing numpy<2. scikit-surprise requires numpy<2 for compilation but LLM didn't specify. Fixed by adding numpy<2. Recommender system works. CLEANED."
17,"Create a data validation script that checks CSV files against defined schemas.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_17,csv_validator.py,requirements.txt,"pandas==2.1.3, Cerberus==1.3.5",2,"pandas==2.1.3, Cerberus==1.3.5",2,"pandas, cerberus, numpy, tzdata, etc",8+,True,CodeBug-Fixed,"Fixed: datetime_format is not a valid Cerberus rule",0,0,6+,"Dependencies correct. Fixed CODE BUG (invalid Cerberus rule). CSV validator works. CLEANED."
18,"Build a stock price tracker that fetches live prices and sends alerts.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_18,stock_tracker.py,requirements.txt,"yfinance==0.2.37",1,"yfinance==0.2.37",1,"yfinance, requests, pandas, numpy, etc",17+,True,None,None,0,0,16+,"All deps correct. Stock tracker with yfinance. Yahoo API rate-limited during test. CLEANED."
19,"Create a markdown to HTML converter with syntax highlighting.",Gemini,Python,/home/ubuntu/agentic_reproducibility/gemini_generated/python/p_19,md_converter.py,requirements.txt,"Markdown==3.6, Pygments==2.17.2",2,"Markdown==3.6, Pygments==2.17.2",2,"markdown, pygments, etc",7+,True,CodeBug-Fixed,"Fixed: nested triple quotes in markdown content string",0,0,5+,"Dependencies correct. Fixed CODE BUG (triple quote nesting). Markdown converter works. CLEANED."
