prompt_id,prompt_text,llm_name,language,project_path,script_file,requirements_file,claimed_deps,claimed_count,working_deps,working_count,runtime_deps,runtime_count,execution_success,error_type,error_message,completeness_gap,precision_gap,runtime_gap,notes
76,Spring Boot REST API with CRUD operations and validation,Claude,Java,/home/ubuntu/agentic_reproducibility/claude_generated/java/p_76,Application.java,pom.xml,"spring-boot-starter-web:3.2.2, spring-boot-starter-validation:3.2.2, lombok:1.18.30",3,"spring-boot-starter-web:3.2.2, spring-boot-starter-validation:3.2.2, lombok:1.18.30",3,spring-boot + 40+ transitive deps,40,True,CodeBug-Fixed,Fixed javax.validation to jakarta.validation imports for Spring Boot 3.x compatibility,0,0,37,CODE BUG FIXED: LLM used javax.validation imports instead of jakarta.validation. Spring Boot 3.x requires jakarta namespace. Fixed by changing all javax.validation imports to jakarta.validation. Build SUCCESS after fix. Complete REST API with User CRUD operations.
77,JDBC database connection utility with HikariCP connection pooling,Claude,Java,/home/ubuntu/agentic_reproducibility/claude_generated/java/p_77,DatabaseUtil.java,pom.xml,"h2:2.2.224, HikariCP:5.1.0",2,"h2:2.2.224, HikariCP:5.1.0",2,"h2, HikariCP, slf4j-api",2,True,None,None,0,0,0,"All dependencies correct. Program executed successfully showing 'Database connection pool initialized', query results, and 'All operations completed successfully!'. Complete JDBC utility with connection pooling."
78,Complete file upload service with Spring Boot validation metadata tracking and file management,Claude,Java,/home/ubuntu/agentic_reproducibility/claude_generated/java/p_78,FileUploadApplication.java,pom.xml,"spring-boot-starter-web:3.2.2, commons-io:2.15.1, spring-boot-starter-data-jpa:3.2.2, h2:2.2.224",4,"spring-boot-starter-web:3.2.2, commons-io:2.15.1, spring-boot-starter-data-jpa:3.2.2, h2:2.2.224",4,Spring Boot + 50+ transitive deps,64,True,None,None,0,0,60,All dependencies correct. Build SUCCESS. Spring Boot application started successfully. Complete file upload service with JPA and H2 database.
79,JSON schema validator service with multiple validation rules,Claude,Java,/home/ubuntu/agentic_reproducibility/claude_generated/java/p_79,JSONValidatorService.java,pom.xml,"jackson-databind:2.16.1, json-schema-validator:2.2.14, org.everit.json.schema:1.14.2",3,"jackson-databind:2.16.1, json-schema-validator:2.2.14, org.everit.json.schema:1.5.1",3,"34+ transitive deps (guava, rhino, commons-validator, etc)",23,True,CodeBug-Fixed+Completeness,Fixed dependency version 1.14.2->1.5.1 (version doesn't exist). Fixed filename JsonValidatorService.java->JSONValidatorService.java to match class name,1,0,20,COMPLETENESS GAP: LLM specified org.everit.json.schema:1.14.2 but only 1.5.1 exists in Maven Central. CODE BUG: Class named JSONValidatorService but file was JsonValidatorService.java. Fixed both issues. Validates user/product/order JSON against schemas with validation error reporting.
80,HTTP client utility with Apache HttpClient 5 retry logic and JSON support,Claude,Java,/home/ubuntu/agentic_reproducibility/claude_generated/java/p_80,HttpClientService.java,pom.xml,"httpclient5:5.3.1, jackson-databind:2.16.1, slf4j-simple:2.0.9",3,"httpclient5:5.3.1, jackson-databind:2.16.1, slf4j-simple:2.0.9",3,"8 transitive deps (httpcore5, httpcore5-h2, slf4j-api, jackson-annotations, jackson-core)",8,True,CodeBug-Fixed,Missing import for org.apache.hc.core5.http.ClassicHttpRequest,0,0,5,CODE BUG: Missing import for ClassicHttpRequest class. Added import. Build SUCCESS after fix. Complete HTTP client with exponential backoff retry GET/POST/PUT/DELETE methods JSON serialization connection pooling. Tests JSONPlaceholder API successfully.
81,Excel file generator with Apache POI for creating formatted spreadsheets,Claude,Java,/home/ubuntu/agentic_reproducibility/claude_generated/java/p_81,ExcelGenerator.java,pom.xml,poi-ooxml:5.2.5,1,poi-ooxml:5.2.5,1,"13 transitive deps (poi, poi-ooxml-lite, xmlbeans, commons-compress, commons-io, curvesapi, log4j-api, commons-collections4, etc)",1,True,None,,0,0,0,No errors. Build SUCCESS on first try. Complete Excel generator with workbook creation sheet management cell styling auto-sizing columns formulas number formatting. Generates sales_report.xlsx and employee_report.xlsx successfully.
82,Apache Kafka producer and consumer with message streaming,Claude,Java,/home/ubuntu/agentic_reproducibility/claude_generated/java/p_82,KafkaMessagingService.java,pom.xml,"kafka-clients:3.6.1, slf4j-simple:2.0.9",2,"kafka-clients:3.6.1, slf4j-simple:2.0.9",2,"6 transitive deps (zstd-jni, lz4-java, snappy-java, slf4j-api)",6,True,None,,0,0,4,No errors. Build SUCCESS on first try. Complete Kafka messaging system with producer and consumer classes configurable brokers serialization consumer groups. Code runs successfully (requires external Kafka broker for full functionality).
83,XML parser and generator with JAXB for marshalling and unmarshalling,Claude,Java,/home/ubuntu/agentic_reproducibility/claude_generated/java/p_83,XMLParser.java,pom.xml,"jaxb-api:2.3.1, jaxb-runtime:4.0.4",2,"jaxb-api:2.3.1, jaxb-runtime:4.0.4",2,"9 transitive deps (jakarta.xml.bind-api, jakarta.activation-api, angus-activation, jaxb-core, txw2, istack-commons-runtime, javax.activation-api)",3,True,None,,0,0,1,No errors. Build SUCCESS on first try. Complete XML processing with JAXB annotations marshal/unmarshal methods sample entities (Book Author Library). Successfully marshals Java objects to XML and unmarshals back. Works correctly despite using jakarta imports with javax dependency (jaxb-runtime transitively provides jakarta.xml.bind-api).
84,Regular expression validator with pre-built patterns for common validations,Claude,Java,/home/ubuntu/agentic_reproducibility/claude_generated/java/p_84,RegexValidator.java,pom.xml,None (java.util.regex),0,None,0,0 (built-in JDK),0,True,None,,0,0,0,No external dependencies. Build SUCCESS on first try. Complete regex validation utility with pre-built patterns for email phone URL credit card IP date password. Extract methods for finding matches. All validation tests pass successfully.
85,Email service with template support and attachment handling,Claude,Java,/home/ubuntu/agentic_reproducibility/claude_generated/java/p_85,EmailService.java,pom.xml,"jakarta.mail:2.0.1, freemarker:2.3.32",2,"jakarta.mail:2.0.1, freemarker:2.3.32",2,3 transitive deps (jakarta.activation),3,True,None,,0,0,1,No errors. Build SUCCESS on first try. Complete email service with plain text HTML templated emails. EmailMessage builder pattern attachment support FreeMarker template integration SMTP configuration. Runs successfully demonstrating email preparation and bulk sending.
86,Task scheduler with Spring @Scheduled annotations and dynamic scheduling,Claude,Java,/home/ubuntu/agentic_reproducibility/claude_generated/java/p_86,TaskSchedulerApp.java,pom.xml,"spring-boot-starter:3.2.2, spring-boot-starter-data-jpa:3.2.2, h2",3,"spring-boot-starter:3.2.2, spring-boot-starter-data-jpa:3.2.2, h2",3,"60+ transitive deps (hibernate, HikariCP, logback, aspectj, micrometer, etc)",49,True,None,,0,0,46,No errors. Build SUCCESS on first try. Complete task scheduling system with @Scheduled annotations fixed-rate tasks cron expressions TaskExecutionLog entity database cleanup report generation health checks. Application starts successfully and scheduled tasks execute correctly (Fixed Rate Task Fixed Delay Task).
87,JWT authentication and authorization service with Spring Security,Claude,Java,/home/ubuntu/agentic_reproducibility/claude_generated/java/p_87,JwtSecurityApp.java,pom.xml,"spring-boot-starter-security:3.2.2, spring-boot-starter-web:3.2.2, jjwt-api:0.12.5, jjwt-impl:0.12.5, jjwt-jackson:0.12.5",5,"spring-boot-starter-security:3.2.2, spring-boot-starter-web:3.2.2, jjwt-api:0.12.5, jjwt-impl:0.12.5, jjwt-jackson:0.12.5",5,80+ transitive deps,39,False,CodeBug,Multiple API incompatibility issues with jjwt 0.12.5. LLM used deprecated methods parserBuilder() should be parser(). Jwts.claims().setSubject() returns ClaimsBuilder not Claims. Old methods like setClaims setIssuedAt setExpiration don't exist in 0.12.x API. Class name mismatch JwtSecurityApp vs file name.,0,0,34,CODE BUG: jjwt API incompatibility. LLM generated code for older jjwt version but specified 0.12.5. Multiple method signatures changed between versions. Would require extensive refactoring to fix all API calls throughout the codebase.
